tender_name,tender_authority,application_start_date,tender_deadline,period,tender_location,date_published,tender_type,source_url,found_keywords,state
"LWL - Museum für Naturkunde - Westf. Landesmuseum mit Planetarium, MS; Forum Naturwissenschaften; VE03.02 Tischlerarbeiten Interimsfoyer - Vorabmaßnahme; 24-095 E",LWL - Bau- und Liegenschaftsbetrieb (LWL-BLB),2024-06-23,not specified,not specified,not specified,23.06.24,VOB/A Vergebener Auftrag,https://www.evergabe.nrw.de,Machbarkeit,North Rhine-Westphalia
"LWL - Museum für Naturkunde - Westf. Landesmuseum mit Planetarium, MS; Forum Naturwissenschaften; VE04.02 Demontage- und Schadstoffsanierungsarbeiten von Asbest-, und KMF-haltigen Baustoffen Produkten",LWL - Bau- und Liegenschaftsbetrieb (LWL-BLB),2024-07-04,not specified,not specified,not specified,04.07.24,VOB/A Vergebener Auftrag,https://www.evergabe.nrw.de,Machbarkeit,North Rhine-Westphalia
"Kauf, Lieferung und Montage der aufgeführten Grafikproduktionen und ggf. für den fachgerechten Betrieb notwendige Nebenleistunge",Stadt Wuppertal - 404.12 - Haupt- und Personalamt - Beschaffungsservice,2024-10-23,18.11.24,not specified,not specified,23.10.24,VgV Ausschreibung,https://www.evergabe.nrw.de,Machbarkeit,North Rhine-Westphalia
"Hin- und Rücktransport von Kunstwerken für die Ausstellung ""Grow It, Show It! Haare im Blick von Diane Arbus bis TikTok""","Stadt Essen, Zentrales Vergabe- und Beschaffungsmanagement",2024-09-11,not specified,not specified,not specified,11.09.24,UVgO Vergebener Auftrag,https://www.evergabe.nrw.de,Machbarkeit,North Rhine-Westphalia
2024-0306 Denkmalschutzarbeiten an 2 Museumsschiffen (Oscar Huber und Fendel 147) in 2 Losen,Einkauf der Stadt Duisburg (10-31),2024-07-14,not specified,not specified,not specified,14.07.24,VgV Vergebener Auftrag,https://www.evergabe.nrw.de,Machbarkeit,North Rhine-Westphalia
Malerarbeiten,Technische Werke Schwedt GmbH,2024-11-05,27.11.24,not specified,not specified,05.11.24,VOB/A Ausschreibung,https://vergabemarktplatz.brandenburg.de,"Erlebnis, Freizeit, Destination, Tourismus, Tourismusförderung",Brandenburg
BV Sternenpfad Lieberoser Heide,Stiftung Naturlandschaften Brandenburg,2021-12-06,not specified,not specified,not specified,06.12.21,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Erlebnis, Freizeit, Destination, Tourismus",Brandenburg
Wegeinstandsetzung,Stiftung Naturlandschaften Brandenburg,2021-12-06,not specified,not specified,not specified,06.12.21,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Erlebnis, Freizeit, Destination, Tourismus",Brandenburg
"Teilnutzungsänderung - ehem. Schulküche Grundschule ""Georg Büchner"" Joachimsthal",Amt Joachimsthal (Schorfheide),2017-01-12,not specified,not specified,not specified,12.01.17,Sonstige Beabsichtigte Ausschreibung,https://vergabemarktplatz.brandenburg.de,Tourismusförderung,Brandenburg
Prüfung ortsveränderlicher Betriebsmittel,Stadt Baruth/Mark,2024-09-17,not specified,not specified,not specified,17.09.24,UVgO Beabsichtigte Ausschreibung,https://vergabemarktplatz.brandenburg.de,Tourismusförderung,Brandenburg
"Bahnhof Gransee - Umbau zum Jugendfreizeitzentrum, Los 4 - Starkstromanlagen u. Fernmelde- und Informationstechnik","Amt Gransee und Gemeinden, Fachbereich I",2024-10-08,not specified,not specified,not specified,08.10.24,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Tourismusförderung,Brandenburg
Errichtung eines 4-geschossigen Wohnheims in Cottbus; VE 04 - Technische Ausrüstung (AG 4 bis 8),Berufsförderungswerk der Bauindustrie  Berlin-Brandenburg e.V.,2024-10-22,21.11.24,not specified,not specified,22.10.24,VgV Ausschreibung,https://vergabemarktplatz.brandenburg.de,Tourismusförderung,Brandenburg
"eisenhüttenstädter Freizeitzentrum, 15890 Eisenhüttenstadt Neuanbindung Regenentwässerung Hof","Stadt Eisenhüttenstadt, Fachbereich Stadtentwicklung",2024-08-23,not specified,not specified,not specified,23.08.24,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Tourismusförderung,Brandenburg
Um- und Ausbau Güterschuppen Bernau - Planungsleistungen (Angebotsphase),Stadt Bernau bei Berlin,2024-06-16,not specified,not specified,not specified,16.06.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Tourismusförderung,Brandenburg
"Rote Kaserne West - WA8 - Planungsleistung Technische Gebäudeausrüstung für die Anlagengruppen 1-3,gemäß § 53 - 56 HOAI",ProPotsdam GmbH,2024-08-27,not specified,not specified,not specified,27.08.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Tourismusförderung,Brandenburg
Errichtung eines 4-geschossigen Wohnheims in Cottbus; VE 03 - Technische Ausrüstung (AG 1 bis 3),Berufsförderungswerk der Bauindustrie  Berlin-Brandenburg e.V.,2024-10-24,not specified,not specified,not specified,24.10.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Tourismusförderung,Brandenburg
Errichtung eines 4-geschossigen Wohnheims in Cottbus; VE 01 - Objektplanung Gebäude (Architektur): (LP 5 bis 9),Berufsförderungswerk der Bauindustrie  Berlin-Brandenburg e.V.,2024-10-24,not specified,not specified,not specified,24.10.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Tourismusförderung,Brandenburg
Errichtung eines 4-geschossigen Wohnheims in Cottbus; VE 02 - Tragwerksplanung: (LP 3 bis 6 und 8),Berufsförderungswerk der Bauindustrie  Berlin-Brandenburg e.V.,2024-10-24,not specified,not specified,not specified,24.10.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Tourismusförderung,Brandenburg
Errichtung eines 4-geschossigen Wohnheims in Cottbus; VE 05 - Freianlagen,Berufsförderungswerk der Bauindustrie  Berlin-Brandenburg e.V.,2024-10-24,not specified,not specified,not specified,24.10.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Tourismusförderung,Brandenburg
Textilreinigungsleistungen für 10 Einrichtungen der Rolandstadt Perleberg,Rolandstadt Perleberg,2024-11-12,09.12.24,not specified,not specified,12.11.24,UVgO Ausschreibung,https://vergabemarktplatz.brandenburg.de,Tourismusförderung,Brandenburg
Museum und Gedenkstätte Sachsenhausen,Brandenburgischer Landesbetrieb für Liegenschaften und Bauen,2024-11-08,not specified,not specified,not specified,08.11.24,UVgO Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Museum, Markenwelt, Ausstellung, Ideenskizze, Konzept",Brandenburg
"Museum und Gedenkstätte Sachsenhausen, Wiedererrichtung Lagermauer nach Sturmschaden",Brandenburgischer Landesbetrieb für Liegenschaften und Bauen,2024-09-10,not specified,not specified,not specified,10.09.24,UVgO Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Museum, Markenwelt, Ausstellung, Ideenskizze, Konzept",Brandenburg
Los N011 Aufzug Museum - Kultur|Kloster|Kyritz,Stadt Kyritz,2024-08-29,not specified,not specified,not specified,29.08.24,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Museum, Markenwelt, Ausstellung, Ideenskizze, Konzept",Brandenburg
Los N004 Gerüstbau Museum - Kultur|Kloster|Kyritz,Stadt Kyritz,2024-10-20,not specified,not specified,not specified,20.10.24,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Museum, Markenwelt, Ausstellung, Ideenskizze, Konzept",Brandenburg
Stadt Cottbus OV 136-2024 Sicherheitsdienstleistungen Stadtmuseum und Wendisches Museum,Stadtverwaltung Cottbus,2024-09-25,not specified,not specified,not specified,25.09.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Museum, Markenwelt, Ausstellung, Ideenskizze, Konzept",Brandenburg
"Ingenieurleistungen und Bauleitung Umbau in der Dauerausstellung des Filmmuseums Potsdam, Einbau eines Vermittlungsraumes",Filmuniversität Babelsberg KONRAD WOLF,2024-11-05,not specified,not specified,not specified,05.11.24,Sonstige Beabsichtigte Ausschreibung,https://vergabemarktplatz.brandenburg.de,"Museum, Markenwelt, Ausstellung, Ideenskizze, Konzept",Brandenburg
Vergabe eines öffentlichen Dienstleistungsauftrages - Verkehrsleistungen im Straßenbahnverkehr nach Art. 5 Abs. 3 VO (EG) 1370/2007 - hier: Straßenbahnlinie 88,Landkreis Oder-Spree,2024-11-05,not specified,not specified,not specified,05.11.24,SektVO Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Museum, Markenwelt, Ausstellung, Ideenskizze, Konzept",Brandenburg
Los N007 Tischlerarbeiten - Kultur|Kloster|Kyritz,Stadt Kyritz,2024-11-07,not specified,not specified,not specified,07.11.24,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Museum, Markenwelt, Ausstellung, Ideenskizze, Konzept",Brandenburg
Los K007 Tischlerarbeiten - Kultur|Kloster|Kyritz,Stadt Kyritz,2024-06-29,not specified,not specified,not specified,29.06.24,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Museum, Markenwelt, Ausstellung, Ideenskizze, Konzept",Brandenburg
WH Los K007 Tischlerarbeiten - Kultur|Kloster|Kyritz,Stadt Kyritz,2024-08-13,not specified,not specified,not specified,13.08.24,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Museum, Markenwelt, Ausstellung, Ideenskizze, Konzept",Brandenburg
"Los K002 - Kultur|Kloster|Kyritz Fassade, Rohbau, Innenputz",Stadt Kyritz,2024-08-13,not specified,not specified,not specified,13.08.24,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Museum, Markenwelt, Ausstellung, Ideenskizze, Konzept",Brandenburg
Los K007 Tischlerarbeiten inkl. restauratorischer Aufarbeitung Fenster/Türen und Neubau nach histrorischem Vorbild (Denkmalschutz) - Kultur|Kloster|Kyritz,Stadt Kyritz,2024-10-27,not specified,not specified,not specified,27.10.24,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Museum, Markenwelt, Ausstellung, Ideenskizze, Konzept",Brandenburg
Los N011  Aufzug - Kultur|Kloster|Kyritz,Stadt Kyritz,2024-11-07,not specified,not specified,not specified,07.11.24,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Museum, Markenwelt, Ausstellung, Ideenskizze, Konzept",Brandenburg
Ertüchtigung der Beleuchtung als energetische und gestaltungstechnische Sanierung für das Kunstmuseum für moderne Kunst Dieselkraftwerk Cottbus,Brandenburgische Kulturstiftung Cottbus-Frankfurt (Oder),2024-10-24,not specified,not specified,not specified,24.10.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Museum, Markenwelt, Ausstellung, Ideenskizze, Konzept, Masterplan, Machbarkeit, Beratung",Brandenburg
Social Media Marketing,"Stadt Forst (Lausitz), Die Bürgermeisterin, Fachbereich Bauverwaltung",2024-11-13,not specified,not specified,not specified,13.11.24,UVgO Beabsichtigte Ausschreibung,https://vergabemarktplatz.brandenburg.de,"Museum, Markenwelt, Ausstellung, Ideenskizze, Konzept",Brandenburg
Sanierung der Ev. Kirche Sietzing - Archäologie,Ev. Kirchengemeinde Neutrebbin-Oderbruch,2019-05-21,not specified,not specified,not specified,21.05.19,VOB/A Beabsichtigte Ausschreibung,https://vergabemarktplatz.brandenburg.de,"Museum, Markenwelt, Ausstellung, Ideenskizze, Konzept",Brandenburg
Akustikoptimierung Foyer Sammlung Filmmuseum Potsdam,Filmuniversität Babelsberg KONRAD WOLF,2024-10-10,not specified,not specified,not specified,10.10.24,UVgO Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Museum, Markenwelt, Ausstellung, Ideenskizze, Konzept",Brandenburg
"Gemeinde Schorfheide/Jagdschloss Schorfheide - Museumsscheune, hier: Salzsanierung Mauerwerk (Mauerwerkssanierung)",Gemeinde Schorfheide,2024-09-03,not specified,not specified,not specified,03.09.24,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Museum, Markenwelt, Ausstellung, Ideenskizze, Konzept",Brandenburg
"WC-Container, Besucherzentrum Historische Mühle im Park Sanssouci",Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,2024-06-11,not specified,not specified,not specified,11.06.24,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Museum, Markenwelt, Ausstellung, Ideenskizze, Konzept",Brandenburg
"Besucherzentrum Historische Mühle, Rückbau Pflasterflächen",Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,2024-06-30,not specified,not specified,not specified,30.06.24,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Museum, Markenwelt, Ausstellung, Ideenskizze, Konzept",Brandenburg
Stufe 2: Neubau Verwaltungsstandort,Abfallentsorgungsverband Schwarze Elster,2024-07-05,not specified,not specified,not specified,05.07.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,Nutzungsidee,Brandenburg
Regenwassermanagement - Konzept Krampnitz,Entwicklungsträger Potsdam GmbH Treuhänder der Stadt,2024-10-30,not specified,not specified,not specified,30.10.24,VgV Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Masterplan, Machbarkeit, Beratung",Brandenburg
Rückversetzung: Beschaffung eines zentralen Querverbundleitsystems und zugehöriger Dienstleistungen,Stadtwerke Oranienburg GmbH,2024-11-07,20.11.24,not specified,not specified,07.11.24,SektVO TNW,https://vergabemarktplatz.brandenburg.de,"Masterplan, Machbarkeit, Beratung",Brandenburg
SDEI Müncheberg Klimaschrank,Senckenberg Gesellschaft für Naturforschung,2024-07-08,not specified,not specified,not specified,08.07.24,Sonstige Beabsichtigte Ausschreibung,https://vergabemarktplatz.brandenburg.de,"Masterplan, Machbarkeit, Beratung",Brandenburg
"Finanzamt Kyritz, Unterhaltsreinigung",Brandenburgischer Landesbetrieb für Liegenschaften und Bauen (BLB) - Zentrale Vergabestelle,2024-10-24,18.11.24,not specified,not specified,24.10.24,UVgO Ausschreibung,https://vergabemarktplatz.brandenburg.de,"Masterplan, Machbarkeit, Beratung",Brandenburg
Gebäudeensemble Joachimsthalsches Gymnasium Templin | Projektsteuerungsleistungen,Stiftung Gebäudeensemble Joachimsthalsches Gymnasium Templin,2024-08-21,not specified,not specified,not specified,21.08.24,VOL/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Masterplan, Machbarkeit, Beratung",Brandenburg
Konzeption und Umsetzung des Programms sowie Betrieb des Kochstudios in der Brandenburg-Halle auf der Grünen Woche 2025 (GW 2025),"Ministerium für Landwirtschaft, Umwelt und Klimaschutz Brandenburg",2024-10-11,not specified,not specified,not specified,11.10.24,UVgO Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Masterplan, Machbarkeit, Beratung",Brandenburg
Gebäudeensembles Joachimsthalsches Gymnasium Templin | Planungsleistungen des Leistungsbildes Tragwerksplanung und Bauphysik,Stiftung Gebäudeensemble Joachimsthalsches Gymnasium Templin,2024-08-22,not specified,not specified,not specified,22.08.24,VOL/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Masterplan, Machbarkeit, Beratung",Brandenburg
"Gebäudeensemble Joachimsthalsches Gymnasium Templin | LOS 6 - Planungsleistungen der Technischen Ausrüstung, AGR 1 bis 3 und 7",Stiftung Gebäudeensemble Joachimsthalsches Gymnasium Templin,2024-11-04,not specified,not specified,not specified,04.11.24,VOL/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Masterplan, Machbarkeit, Beratung",Brandenburg
"Gebäudeensemble Joachimsthalsches Gymnasium Templin | LOS 7 - Planungsleistungen der Technischen Ausrüstung, AGR 4 bis 6 und 8",Stiftung Gebäudeensemble Joachimsthalsches Gymnasium Templin,2024-11-04,not specified,not specified,not specified,04.11.24,VOL/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Masterplan, Machbarkeit, Beratung",Brandenburg
"Maßnahme 1.4.1. im INTERREG VIA-Vorhaben ""Mobile Doppelstadt"" für die Stadt Frankfurt (Oder) und die Gemeinde Slubice,  Erarbeitung eines Konzeptes nachhaltiger, multimodaler Mobilität und Verkehr","Stadt Frankfurt (Oder), Bereich des Oberbürgermeisters, Rechtsamt, Zentrale Vergabestelle",2024-10-29,25.11.24,not specified,not specified,29.10.24,UVgO TNW,https://vergabemarktplatz.brandenburg.de,"Masterplan, Machbarkeit, Beratung",Brandenburg
Planungsleistungen - Umbau Rathaus,Stadt Luckenwalde Kreisstadt des Kreises Teltow-Fläming,2017-02-13,not specified,not specified,not specified,13.02.17,VOL/A Beabsichtigte Ausschreibung,https://vergabemarktplatz.brandenburg.de,"Masterplan, Machbarkeit, Beratung",Brandenburg
Gefahrenabwehrbedarfsplan | Löschwasserkonzept,Amt Brück,2024-11-06,05.12.24,not specified,not specified,06.11.24,UVgO Ausschreibung,https://vergabemarktplatz.brandenburg.de,"Masterplan, Machbarkeit, Beratung",Brandenburg
Bildungscampus Wittstock/Dosse - Schulzentrum,Stadt Wittstock/Dosse - Der Bürgermeister,2019-05-07,03.06.19,not specified,not specified,07.05.19,VgV TNW,https://vergabemarktplatz.brandenburg.de,"Masterplan, Machbarkeit, Beratung",Brandenburg
"Generalplanerleistung für Sanierung und Erweiterung - Feuerwehrgebäude OT Friedrichsthal ""FFW Nord"" als gemeinsame Ortsfeuerwehr für Friedrichsthal und Malz","Stadt Oranienburg, Der Bürgermeister",2024-10-23,21.11.24,not specified,not specified,23.10.24,VgV TNW,https://vergabemarktplatz.brandenburg.de,"Masterplan, Machbarkeit, Beratung",Brandenburg
Rahmenvereinbarung für  IT-Service- und Betriebsdienstleistungen,Brandenburgischer IT-Dienstleister,2024-11-08,09.12.24,not specified,not specified,08.11.24,VgV TNW,https://vergabemarktplatz.brandenburg.de,"Masterplan, Machbarkeit, Beratung",Brandenburg
Untersuchung von 4 Messanomalien in der Oranienburger Havel,"Stadt Oranienburg, Der Bürgermeister",2024-08-09,not specified,not specified,not specified,09.08.24,VOB/A Vergebener Auftrag,https://vergabemarktplatz.brandenburg.de,"Masterplan, Machbarkeit, Beratung",Brandenburg
Briesen App,Amt Odervorland,2024-10-30,18.11.24,not specified,not specified,30.10.24,UVgO TNW,https://vergabemarktplatz.brandenburg.de,"Masterplan, Machbarkeit, Beratung",Brandenburg
Stadt Cottbus VVmöTw 265/2024  - Planungsleistungen Radweg Anbindung OT Skadow,Stadtverwaltung Cottbus,2024-11-05,19.11.24,not specified,not specified,05.11.24,UVgO TNW,https://vergabemarktplatz.brandenburg.de,"Masterplan, Machbarkeit, Beratung",Brandenburg
Grundlagenermittlung zur Neuerarbeitung der Strategie Stadtentwicklung und Wohnen des MIL,Ministerium für Infrastruktur und Landesplanung,2024-11-06,25.11.24,not specified,not specified,06.11.24,UVgO TNW,https://vergabemarktplatz.brandenburg.de,"Masterplan, Machbarkeit, Beratung",Brandenburg
